Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
seleniumEasy,Chrome 67.0.3396.99,,2018-07-25 17:20:15,2018-07-25 17:23:27,3m - 12.546s,FAILED
,,,,,,
Test Cases/SeleniumEasy/AllExample/AlertsandModels,Chrome 67.0.3396.99,,2018-07-25 17:20:15,2018-07-25 17:20:42,27.141s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 17:20:15,2018-07-25 17:20:39,23.837s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 17:20:39,2018-07-25 17:20:41,2.448s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:20:41,2018-07-25 17:20:42,0.096s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:20:42,2018-07-25 17:20:42,0.506s,FAILED
,,,,,,
Test Cases/SeleniumEasy/AllExample/DatePickers,Chrome 67.0.3396.99,,2018-07-25 17:20:42,2018-07-25 17:21:09,26.709s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 17:20:42,2018-07-25 17:21:06,23.551s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 17:21:06,2018-07-25 17:21:08,2.438s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:21:08,2018-07-25 17:21:08,0.096s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:21:08,2018-07-25 17:21:09,0.469s,FAILED
,,,,,,
Test Cases/SeleniumEasy/AllExample/InputForms,Chrome 67.0.3396.99,,2018-07-25 17:21:09,2018-07-25 17:21:36,27.098s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 17:21:09,2018-07-25 17:21:32,23.562s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 17:21:32,2018-07-25 17:21:35,2.840s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:21:35,2018-07-25 17:21:35,0.082s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:21:35,2018-07-25 17:21:36,0.484s,FAILED
,,,,,,
Test Cases/SeleniumEasy/AllExample/ListBox,Chrome 67.0.3396.99,,2018-07-25 17:21:36,2018-07-25 17:22:06,29.859s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 17:21:36,2018-07-25 17:22:00,23.594s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 17:22:00,2018-07-25 17:22:05,5.601s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:22:05,2018-07-25 17:22:05,0.074s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:22:05,2018-07-25 17:22:06,0.463s,FAILED
,,,,,,
Test Cases/SeleniumEasy/AllExample/Others,Chrome 67.0.3396.99,,2018-07-25 17:22:06,2018-07-25 17:22:33,27.006s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 17:22:06,2018-07-25 17:22:29,23.539s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 17:22:29,2018-07-25 17:22:32,2.757s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:22:32,2018-07-25 17:22:32,0.095s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:22:32,2018-07-25 17:22:33,0.458s,FAILED
,,,,,,
Test Cases/SeleniumEasy/AllExample/ProgressBarSliders,Chrome 67.0.3396.99,,2018-07-25 17:22:33,2018-07-25 17:22:59,26.595s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 17:22:33,2018-07-25 17:22:56,23.529s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 17:22:56,2018-07-25 17:22:59,2.417s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:22:59,2018-07-25 17:22:59,0.077s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:22:59,2018-07-25 17:22:59,0.456s,FAILED
,,,,,,
Test Cases/SeleniumEasy/AllExample/Table,Chrome 67.0.3396.99,,2018-07-25 17:22:59,2018-07-25 17:23:27,27.216s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 17:22:59,2018-07-25 17:23:23,23.545s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 17:23:23,2018-07-25 17:23:26,3.000s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:23:26,2018-07-25 17:23:26,0.085s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:23:26,2018-07-25 17:23:27,0.458s,FAILED
